JV,polygon,full_name,species,species_code,Resident,breeding_prop_pop,nbreeding_prop_pop,postbreedingm_prop_pop,prebreedingm_prop_pop
PacificBirds,WA,PacificBirds_WA.shp,Lark Sparrow,larspa,FALSE,0,0,0,0
PacificBirds,WA,PacificBirds_WA.shp,Lapland Longspur,laplon,FALSE,0,0,1.10E-06,1.00E-06
PacificBirds,WA,PacificBirds_WA.shp,Killdeer,killde,FALSE,0.0006649,0.0014221,0.0006263,0.0009241
PacificBirds,WA,PacificBirds_WA.shp,Indigo Bunting,indbun,FALSE,0,3.00E-07,0,0
PacificBirds,WA,PacificBirds_WA.shp,Hutton's Vireo,hutvir,TRUE,0.0383579,0.0383579,0.0383579,0.0383579
PacificBirds,WA,PacificBirds_WA.shp,House Wren,houwre,FALSE,0.0004208,0,4.61E-05,0.0001521
PacificBirds,WA,PacificBirds_WA.shp,House Sparrow,houspa,TRUE,4.94E-05,4.94E-05,4.94E-05,4.94E-05
PacificBirds,WA,PacificBirds_WA.shp,House Finch,houfin,TRUE,0.0026424,0.0026424,0.0026424,0.0026424
PacificBirds,WA,PacificBirds_WA.shp,Horned Lark,horlar,FALSE,0.0001117,1.00E-07,0.0001423,1.84E-05
PacificBirds,WA,PacificBirds_WA.shp,Horned Grebe,horgre,FALSE,1.01E-05,0.0426261,0.0128408,0.0039455
PacificBirds,WA,PacificBirds_WA.shp,Hooded Merganser,hoomer,FALSE,0.0026279,0.0197934,0.0058329,0.0087274
PacificBirds,WA,PacificBirds_WA.shp,Hermit Warbler,herwar,FALSE,0.0832812,0,0.0143351,0.0455761
PacificBirds,WA,PacificBirds_WA.shp,Hermit Thrush,herthr,FALSE,0.0051885,0.0021228,0.0066231,0.004825
PacificBirds,WA,PacificBirds_WA.shp,Herring Gull,hergul,FALSE,0,8.57E-05,1.06E-05,4.50E-06
PacificBirds,WA,PacificBirds_WA.shp,Heermann's Gull,heegul,FALSE,0,0.0155523,0.0024751,0.0011273
PacificBirds,WA,PacificBirds_WA.shp,Harris's Sparrow,harspa,FALSE,0,5.20E-06,1.50E-06,0
PacificBirds,WA,PacificBirds_WA.shp,Harlequin Duck,harduc,FALSE,0.0001464,0.0012584,0.000319,0.0030773
PacificBirds,WA,PacificBirds_WA.shp,Hammond's Flycatcher,hamfly,FALSE,0.0342217,0,0.0198588,0.0444101
PacificBirds,WA,PacificBirds_WA.shp,Hairy Woodpecker,haiwoo,TRUE,0.0104509,0.0104509,0.0104509,0.0104509
PacificBirds,WA,PacificBirds_WA.shp,Greater White-fronted Goose,gwfgoo,FALSE,0,4.60E-06,2.72E-05,1.26E-05
PacificBirds,WA,PacificBirds_WA.shp,Canada Jay,gryjay,TRUE,0.0052255,0.0052255,0.0052255,0.0052255
PacificBirds,WA,PacificBirds_WA.shp,Gray Flycatcher,gryfly,FALSE,0,0,5.90E-06,7.20E-06
PacificBirds,WA,PacificBirds_WA.shp,Gray Catbird,grycat,FALSE,2.00E-07,0,0,0
PacificBirds,WA,PacificBirds_WA.shp,Great-tailed Grackle,grtgra,FALSE,0,0,0,0
PacificBirds,WA,PacificBirds_WA.shp,Green Heron,grnher,FALSE,0.0001113,3.81E-05,0.0001219,5.87E-05
